title,address,coordinates,id,metro,additionalAddress,seoname,ratingData,categories,phones,socialLinks,urls
МотоРайдер,"Москва, Живописный мост","[37.442365, 55.775869]",203586136250,"[{""id"": ""4237676049"", ""name"": ""Народное Ополчение"", ""distance"": ""3,3 км"", ""distanceValue"": 3282.07, ""coordinates"": [37.483239498, 55.775626211], ""type"": ""metro"", ""color"": ""#60bfbf""}, {""id"": ""station__9858836"", ""name"": ""Крылатское"", ""distance"": ""3,7 км"", ""distanceValue"": 3688.5, ""coordinates"": [37.408536299, 55.758149418], ""type"": ""metro"", ""color"": ""#0070bf""}, {""id"": ""4237676949"", ""name"": ""Мнёвники"", ""distance"": ""3,8 км"", ""distanceValue"": 3788.43, ""coordinates"": [37.472266933, 55.761964321], ""type"": ""metro"", ""color"": ""#60bfbf""}]",,motorayder,"{""ratingCount"": 57, ""ratingValue"": 5, ""reviewCount"": 46}","[{""id"": ""132743426043"", ""name"": ""Мотошкола"", ""class"": ""driving school"", ""seoname"": ""motorcycle_school"", ""pluralName"": ""Мотошколы""}]","[{""number"": ""+7 (915) 207-93-77"", ""type"": ""phone"", ""value"": ""+79152079377""}]","[{""type"": ""vkontakte"", ""href"": ""https://vk.com/club62826208"", ""readableHref"": ""vk.com/club62826208""}, {""type"": ""vkontakte"", ""href"": ""https://vk.com/motoriderpro"", ""readableHref"": ""vk.com/motoriderpro""}, {""type"": ""youtube"", ""href"": ""https://www.youtube.com/channel/UCbp6LZ05rOqvTdh7oiXR6_g"", ""readableHref"": ""www.youtube.com/@UCbp6LZ05rOqvTdh7oiXR6_g""}]","[""https://motorider.pro/""]"
Техника,"ул. Пришвина, 26, Москва","[37.603857, 55.884733]",9526802074,"[{""id"": ""station__9858789"", ""name"": ""Бибирево"", ""distance"": ""37 м"", ""distanceValue"": 37.1526, ""coordinates"": [37.604727987, 55.884098969], ""type"": ""metro"", ""color"": ""#999999""}, {""id"": ""station__9858776"", ""name"": ""Алтуфьево"", ""distance"": ""1,9 км"", ""distanceValue"": 1898.01, ""coordinates"": [37.587789963, 55.896642426], ""type"": ""metro"", ""color"": ""#999999""}, {""id"": ""station__9858869"", ""name"": ""Отрадное"", ""distance"": ""2,81 км"", ""distanceValue"": 2813.2, ""coordinates"": [37.605385633, 55.864386894], ""type"": ""metro"", ""color"": ""#999999""}]",этаж 1,tekhnika,"{""ratingCount"": 346, ""ratingValue"": 4.900000095367432, ""reviewCount"": 218}","[{""id"": ""184105264"", ""name"": ""Автошкола"", ""class"": ""driving school"", ""seoname"": ""driving_school"", ""pluralName"": ""Автошколы""}, {""id"": ""132743426043"", ""name"": ""мотошкола"", ""class"": ""driving school"", ""seoname"": ""motorcycle_school"", ""pluralName"": ""Мотошколы""}]","[{""number"": ""+7 (495) 118-44-18"", ""type"": ""phone"", ""value"": ""+74951184418""}]","[{""type"": ""vkontakte"", ""href"": ""https://vk.com/avtoshkola_tehnika"", ""readableHref"": ""vk.com/avtoshkola_tehnika""}, {""type"": ""telegram"", ""href"": ""https://t.me/studytehnika"", ""readableHref"": ""@studytehnika""}]","[""https://avtoshkola-tehnika.ru/?utm_source=yamaps""]"
Hermes,"ул. Черняховского, 4, Москва","[37.53385, 55.802522]",1725260068,"[{""id"": ""station__9858780"", ""name"": ""Аэропорт"", ""distance"": ""222 м"", ""distanceValue"": 222.578, ""coordinates"": [37.531738896, 55.801269276], ""type"": ""metro"", ""color"": ""#3aa63a""}, {""id"": ""station__9858907"", ""name"": ""Сокол"", ""distance"": ""1,26 км"", ""distanceValue"": 1264.81, ""coordinates"": [37.516860499, 55.804963397], ""type"": ""metro"", ""color"": ""#3aa63a""}, {""id"": ""2224010601"", ""name"": ""Петровский парк"", ""distance"": ""2,18 км"", ""distanceValue"": 2181.63, ""coordinates"": [37.558316376, 55.792554113], ""type"": ""metro"", ""color"": ""#60bfbf""}]",подъезд 6,hermes,"{""ratingCount"": 116, ""ratingValue"": 5, ""reviewCount"": 98}","[{""id"": ""184105264"", ""name"": ""Автошкола"", ""class"": ""driving school"", ""seoname"": ""driving_school"", ""pluralName"": ""Автошколы""}, {""id"": ""132743426043"", ""name"": ""мотошкола"", ""class"": ""driving school"", ""seoname"": ""motorcycle_school"", ""pluralName"": ""Мотошколы""}]","[{""number"": ""+7 (499) 877-35-53"", ""type"": ""phone"", ""value"": ""+74998773553""}]","[{""type"": ""vkontakte"", ""href"": ""https://vk.com/autoschool_hermes"", ""readableHref"": ""vk.com/autoschool_hermes""}, {""type"": ""whatsapp"", ""href"": ""https://wa.me/79990059269?text=%D0%9E%D0%B1%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5+%D0%B8%D0%B7+%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81+%D0%9A%D0%B0%D1%80%D1%82%0A%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!+%D0%9C%D0%B5%D0%BD%D1%8F+%D0%B7%D0%B0%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B2%D0%B0%D0%BB%D0%BE+%D0%B2%D0%B0%D1%88%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5"", ""readableHref"": ""+79990059269""}, {""type"": ""telegram"", ""href"": ""https://t.me/avtoshkola_4_you"", ""readableHref"": ""@avtoshkola_4_you""}]","[""https://hermes-mos.ru/?utm_campaign=hermes-mos&utm_medium=msk&utm_source=ya""]"
Ягуар,"Милютинский пер., 18А, Москва","[37.633308, 55.76451]",137596292455,"[{""id"": ""station__9858927"", ""name"": ""Тургеневская"", ""distance"": ""440 м"", ""distanceValue"": 442.889, ""coordinates"": [37.636498762, 55.765510783], ""type"": ""metro"", ""color"": ""#f28b24""}, {""id"": ""station__9858910"", ""name"": ""Сретенский бульвар"", ""distance"": ""480 м"", ""distanceValue"": 483.529, ""coordinates"": [37.636327771, 55.766317144], ""type"": ""metro"", ""color"": ""#9fbf00""}, {""id"": ""station__9858943"", ""name"": ""Чистые пруды"", ""distance"": ""550 м"", ""distanceValue"": 552.954, ""coordinates"": [37.638247514, 55.764997487], ""type"": ""metro"", ""color"": ""#f23d30""}]",,yaguar,"{""ratingCount"": 1719, ""ratingValue"": 5, ""reviewCount"": 1222}","[{""id"": ""184105264"", ""name"": ""Автошкола"", ""class"": ""driving school"", ""seoname"": ""driving_school"", ""pluralName"": ""Автошколы""}, {""id"": ""132743426043"", ""name"": ""мотошкола"", ""class"": ""driving school"", ""seoname"": ""motorcycle_school"", ""pluralName"": ""Мотошколы""}]","[{""number"": ""+7 (499) 955-50-99"", ""type"": ""phone"", ""value"": ""+74999555099""}]","[{""type"": ""telegram"", ""href"": ""https://t.me/jaguarschool"", ""readableHref"": ""@jaguarschool""}, {""type"": ""youtube"", ""href"": ""https://www.youtube.com/@jaguaravtoshkola"", ""readableHref"": ""www.youtube.com/@jaguaravtoshkola""}, {""type"": ""vkontakte"", ""href"": ""https://vk.com/avtoshkolamoscow"", ""readableHref"": ""vk.com/avtoshkolamoscow""}]","[""https://jaguar-avtoshkola.ru/""]"
Акатегория,"просп. Мира, 209, стр. 2, Москва","[37.662344, 55.842054]",18723796667,"[{""id"": ""1727545061"", ""name"": ""Ростокино"", ""distance"": ""790 м"", ""distanceValue"": 794.675, ""coordinates"": [37.668617959, 55.838960383], ""type"": ""metro"", ""color"": ""#ff4c4c""}, {""id"": ""station__9858900"", ""name"": ""Свиблово"", ""distance"": ""1,85 км"", ""distanceValue"": 1846.79, ""coordinates"": [37.654504536, 55.85574107], ""type"": ""metro"", ""color"": ""#f28b24""}, {""id"": ""station__9858792"", ""name"": ""Ботанический сад"", ""distance"": ""2,11 км"", ""distanceValue"": 2109.78, ""coordinates"": [37.639452459, 55.846743533], ""type"": ""metro"", ""color"": ""#f28b24""}]",,akategoriya,"{""ratingCount"": 9, ""ratingValue"": 4, ""reviewCount"": 8}","[{""id"": ""132743426043"", ""name"": ""Мотошкола"", ""class"": ""driving school"", ""seoname"": ""motorcycle_school"", ""pluralName"": ""Мотошколы""}, {""id"": ""89667433305"", ""name"": ""площадка для вождения"", ""class"": ""auto"", ""seoname"": ""driving_training_facility"", ""pluralName"": ""Площадки для вождения""}, {""id"": ""184106156"", ""name"": ""центр повышения квалификации"", ""class"": ""college"", ""seoname"": ""professional_development_center"", ""pluralName"": ""Повышение квалификации""}]","[{""number"": ""+7 (903) 681-95-01"", ""type"": ""phone"", ""value"": ""+79036819501"", ""info"": ""Директор""}, {""number"": ""+7 (919) 777-43-43"", ""type"": ""phone"", ""value"": ""+79197774343""}]","[{""type"": ""telegram"", ""href"": ""https://t.me/akategoriya"", ""readableHref"": ""@akategoriya""}, {""type"": ""vkontakte"", ""href"": ""https://vk.com/akategoriya"", ""readableHref"": ""vk.com/akategoriya""}, {""type"": ""whatsapp"", ""href"": ""https://wa.me/79153337609?text=%D0%9E%D0%B1%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5+%D0%B8%D0%B7+%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81+%D0%9A%D0%B0%D1%80%D1%82%0A%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!+%D0%9C%D0%B5%D0%BD%D1%8F+%D0%B7%D0%B0%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B2%D0%B0%D0%BB%D0%BE+%D0%B2%D0%B0%D1%88%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5"", ""readableHref"": ""+79153337609""}]","[""https://akategoriya.ru/""]"
Автофактор,"ул. Куусинена, 6, корп. 3, Москва","[37.516678, 55.781171]",245440462048,"[{""id"": ""station__9858885"", ""name"": ""Полежаевская"", ""distance"": ""450 м"", ""distanceValue"": 452.974, ""coordinates"": [37.517597063, 55.777681879], ""type"": ""metro"", ""color"": ""#8647b2""}, {""id"": ""2223996721"", ""name"": ""Хорошёвская"", ""distance"": ""540 м"", ""distanceValue"": 537.833, ""coordinates"": [37.517051541, 55.777457401], ""type"": ""metro"", ""color"": ""#60bfbf""}, {""id"": ""1727708801"", ""name"": ""Хорошёво"", ""distance"": ""980 м"", ""distanceValue"": 982.351, ""coordinates"": [37.506533785, 55.777722931], ""type"": ""metro"", ""color"": ""#ff4c4c""}]",этаж цокольный,avtofaktor,"{""ratingCount"": 192, ""ratingValue"": 5, ""reviewCount"": 134}","[{""id"": ""184105264"", ""name"": ""Автошкола"", ""class"": ""driving school"", ""seoname"": ""driving_school"", ""pluralName"": ""Автошколы""}, {""id"": ""132743426043"", ""name"": ""мотошкола"", ""class"": ""driving school"", ""seoname"": ""motorcycle_school"", ""pluralName"": ""Мотошколы""}]","[{""number"": ""+7 (925) 677-72-22"", ""type"": ""phone"", ""value"": ""+79256777222""}]","[{""type"": ""vkontakte"", ""href"": ""https://vk.com/autofactor"", ""readableHref"": ""vk.com/autofactor""}]","[""https://autofactor.ru/"", ""https://taplink.cc/motoshkola_avtofactor"", ""http://motoschool.autofactor.ru/""]"
Ixs,"Шелепихинская наб., 4, стр. 1, Москва","[37.522729, 55.750026]",1087833469,"[{""id"": ""1727708541"", ""name"": ""Шелепиха"", ""distance"": ""870 м"", ""distanceValue"": 874.388, ""coordinates"": [37.525057208, 55.7561498], ""type"": ""metro"", ""color"": ""#ff4c4c""}, {""id"": ""1727707971"", ""name"": ""Москва-Сити"", ""distance"": ""1,15 км"", ""distanceValue"": 1146.5, ""coordinates"": [37.53172998, 55.747796355], ""type"": ""metro"", ""color"": ""#ff4c4c""}, {""id"": ""station__9858852"", ""name"": ""Москва-Сити"", ""distance"": ""1,18 км"", ""distanceValue"": 1180.52, ""coordinates"": [37.532840946, 55.748136018], ""type"": ""metro"", ""color"": ""#21abd9""}]",,ixs,"{""ratingCount"": 134, ""ratingValue"": 4.800000190734863, ""reviewCount"": 59}","[{""id"": ""237358410349"", ""name"": ""Мотоаксессуары и мотоэкипировка"", ""class"": ""auto"", ""seoname"": ""motorcycle_equipment_and_accessories"", ""pluralName"": ""Мотоаксессуары и мотоэкипировка""}, {""id"": ""132743426043"", ""name"": ""мотошкола"", ""class"": ""driving school"", ""seoname"": ""motorcycle_school"", ""pluralName"": ""Мотошколы""}, {""id"": ""184107337"", ""name"": ""мотосалон"", ""class"": ""auto"", ""seoname"": ""motorcycle_dealership"", ""pluralName"": ""Мотосалоны""}]","[{""number"": ""+7 (495) 363-85-33"", ""type"": ""phone"", ""value"": ""+74953638533""}, {""number"": ""+7 (495) 707-20-36"", ""type"": ""phone"", ""value"": ""+74957072036""}, {""number"": ""+7 (926) 918-81-18"", ""type"": ""phone"", ""value"": ""+79269188118""}]",,"[""http://www.ixs.su/""]"
Автофактор,"Москва, 3-я Магистральная улица","[37.516523, 55.768414]",1363615799,"[{""id"": ""2223996721"", ""name"": ""Хорошёвская"", ""distance"": ""1,16 км"", ""distanceValue"": 1162.25, ""coordinates"": [37.521748453, 55.777108593], ""type"": ""metro"", ""color"": ""#60bfbf""}, {""id"": ""station__9858885"", ""name"": ""Полежаевская"", ""distance"": ""1,22 км"", ""distanceValue"": 1222.12, ""coordinates"": [37.521646272, 55.777635403], ""type"": ""metro"", ""color"": ""#8647b2""}, {""id"": ""1727708541"", ""name"": ""Шелепиха"", ""distance"": ""1,78 км"", ""distanceValue"": 1779.04, ""coordinates"": [37.525057208, 55.7561498], ""type"": ""metro"", ""color"": ""#ff4c4c""}]",,avtofaktor,"{""ratingCount"": 211, ""ratingValue"": 5, ""reviewCount"": 126}","[{""id"": ""89667433305"", ""name"": ""Площадка для вождения"", ""class"": ""auto"", ""seoname"": ""driving_training_facility"", ""pluralName"": ""Площадки для вождения""}, {""id"": ""132743426043"", ""name"": ""мотошкола"", ""class"": ""driving school"", ""seoname"": ""motorcycle_school"", ""pluralName"": ""Мотошколы""}, {""id"": ""184105264"", ""name"": ""автошкола"", ""class"": ""driving school"", ""seoname"": ""driving_school"", ""pluralName"": ""Автошколы""}]","[{""number"": ""+7 (495) 945-31-03"", ""type"": ""phone"", ""value"": ""+74959453103""}]","[{""type"": ""vkontakte"", ""href"": ""https://vk.com/autofactor"", ""readableHref"": ""vk.com/autofactor""}]","[""https://motoschool.autofactor.ru/"", ""https://autofactor.ru/""]"
Эндуро-школа Motochampions,"ул. Заречье, 3, Москва","[37.773737, 55.688269]",41950782292,"[{""id"": ""station__9858803"", ""name"": ""Волжская"", ""distance"": ""1,2 км"", ""distanceValue"": 1197.13, ""coordinates"": [37.756306333, 55.69066108], ""type"": ""metro"", ""color"": ""#9fbf00""}, {""id"": ""station__9858846"", ""name"": ""Люблино"", ""distance"": ""1,58 км"", ""distanceValue"": 1577.89, ""coordinates"": [37.762804354, 55.677107346], ""type"": ""metro"", ""color"": ""#9fbf00""}, {""id"": ""station__9858838"", ""name"": ""Кузьминки"", ""distance"": ""2,87 км"", ""distanceValue"": 2865.78, ""coordinates"": [37.764142736, 55.705235843], ""type"": ""metro"", ""color"": ""#8647b2""}]",,enduro_shkola_motochampions,"{""ratingCount"": 75, ""ratingValue"": 5, ""reviewCount"": 57}","[{""id"": ""132743426043"", ""name"": ""Мотошкола"", ""class"": ""driving school"", ""seoname"": ""motorcycle_school"", ""pluralName"": ""Мотошколы""}, {""id"": ""1874584455"", ""name"": ""автоклуб, мотоклуб"", ""class"": ""auto"", ""seoname"": ""auto_club_motorcycle_club"", ""pluralName"": ""Автоклубы, мотоклубы""}]","[{""number"": ""+7 (962) 855-92-50"", ""type"": ""phone"", ""value"": ""+79628559250"", ""info"": ""Менеджер ""}]","[{""type"": ""telegram"", ""href"": ""https://t.me/Moto_Champions_Club"", ""readableHref"": ""@Moto_Champions_Club""}, {""type"": ""vkontakte"", ""href"": ""https://vk.com/motochampions"", ""readableHref"": ""vk.com/motochampions""}, {""type"": ""whatsapp"", ""href"": ""https://wa.me/79628559250?text=%D0%9E%D0%B1%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5+%D0%B8%D0%B7+%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81+%D0%9A%D0%B0%D1%80%D1%82%0A%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!+%D0%9C%D0%B5%D0%BD%D1%8F+%D0%B7%D0%B0%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B2%D0%B0%D0%BB%D0%BE+%D0%B2%D0%B0%D1%88%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5"", ""readableHref"": ""+79628559250""}]","[""http://motochampions.ru/""]"
ЦАО,"ул. Большая Ордынка, 38, стр. 1, Москва","[37.623968, 55.736888]",119679875564,"[{""id"": ""station__9858886"", ""name"": ""Полянка"", ""distance"": ""470 м"", ""distanceValue"": 473.35, ""coordinates"": [37.618716045, 55.736832594], ""type"": ""metro"", ""color"": ""#999999""}, {""id"": ""station__9858923"", ""name"": ""Третьяковская"", ""distance"": ""510 м"", ""distanceValue"": 514.34, ""coordinates"": [37.625625552, 55.740766656], ""type"": ""metro"", ""color"": ""#f28b24""}, {""id"": ""station__9858924"", ""name"": ""Третьяковская"", ""distance"": ""580 м"", ""distanceValue"": 580.023, ""coordinates"": [37.626445035, 55.740945075], ""type"": ""metro"", ""color"": ""#ffd000""}]","этаж 3, офис 28",tsao,"{""ratingCount"": 95, ""ratingValue"": 5, ""reviewCount"": 76}","[{""id"": ""184105264"", ""name"": ""Автошкола"", ""class"": ""driving school"", ""seoname"": ""driving_school"", ""pluralName"": ""Автошколы""}, {""id"": ""132743426043"", ""name"": ""мотошкола"", ""class"": ""driving school"", ""seoname"": ""motorcycle_school"", ""pluralName"": ""Мотошколы""}]","[{""number"": ""+7 (499) 390-53-31"", ""type"": ""phone"", ""value"": ""+74993905331""}, {""number"": ""+7 (926) 052-67-97"", ""type"": ""phone"", ""value"": ""+79260526797""}]","[{""type"": ""whatsapp"", ""href"": ""https://wa.me/79260526797?text=%D0%9E%D0%B1%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5+%D0%B8%D0%B7+%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81+%D0%9A%D0%B0%D1%80%D1%82%0A%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!+%D0%9C%D0%B5%D0%BD%D1%8F+%D0%B7%D0%B0%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B2%D0%B0%D0%BB%D0%BE+%D0%B2%D0%B0%D1%88%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5"", ""readableHref"": ""+79260526797""}, {""type"": ""vkontakte"", ""href"": ""https://vk.com/avtoschool_cao"", ""readableHref"": ""vk.com/avtoschool_cao""}, {""type"": ""telegram"", ""href"": ""https://t.me/autoschool_Cao"", ""readableHref"": ""@autoschool_Cao""}]","[""https://gai177.ru/""]"
Motoshkola. club,"Москва, Лужники","[37.553831, 55.721861]",140404340240,"[{""id"": ""1727705601"", ""name"": ""Лужники"", ""distance"": ""660 м"", ""distanceValue"": 657.912, ""coordinates"": [37.560919414, 55.720924296], ""type"": ""metro"", ""color"": ""#ff4c4c""}, {""id"": ""station__9858909"", ""name"": ""Спортивная"", ""distance"": ""800 м"", ""distanceValue"": 796.5, ""coordinates"": [37.561906708, 55.72226206], ""type"": ""metro"", ""color"": ""#f23d30""}, {""id"": ""100078876"", ""name"": ""Фрунзенская"", ""distance"": ""2,32 км"", ""distanceValue"": 2321.51, ""coordinates"": [37.580583447, 55.727395255], ""type"": ""metro"", ""color"": ""#f23d30""}]",,motoshkola_club,"{""ratingCount"": 139, ""ratingValue"": 5, ""reviewCount"": 86}","[{""id"": ""184105264"", ""name"": ""Автошкола"", ""class"": ""driving school"", ""seoname"": ""driving_school"", ""pluralName"": ""Автошколы""}, {""id"": ""132743426043"", ""name"": ""мотошкола"", ""class"": ""driving school"", ""seoname"": ""motorcycle_school"", ""pluralName"": ""Мотошколы""}, {""id"": ""184106168"", ""name"": ""учебный центр"", ""class"": ""college"", ""seoname"": ""educational_center"", ""pluralName"": ""Учебные центры""}]","[{""number"": ""+7 (925) 664-34-54"", ""type"": ""phone"", ""value"": ""+79256643454"", ""info"": ""тел. мотошколы""}, {""number"": ""+7 (916) 305-12-75"", ""type"": ""phone"", ""value"": ""+79163051275"", ""info"": ""тел. мотошколы""}]","[{""type"": ""telegram"", ""href"": ""https://t.me/motoshkolaclub"", ""readableHref"": ""@motoshkolaclub""}, {""type"": ""vkontakte"", ""href"": ""https://vk.com/club168633950"", ""readableHref"": ""vk.com/club168633950""}, {""type"": ""max"", ""href"": ""https://max.ru/u/f9LHodD0cOJZWN1rL89W--VuWdTnL4wGO1SNGq3-9FrPeZkjUModTyhZHto"", ""readableHref"": ""max.ru/u/f9LHodD0cOJZWN1rL89W--VuWdTnL4wGO1SNGq3-9FrPeZkjUModTyhZHto""}]","[""http://motoshkola.club/""]"
Мотор,"ул. Мастеркова, 2, Москва","[37.65721, 55.709918]",1753904026,"[{""id"": ""station__9858772"", ""name"": ""Автозаводская"", ""distance"": ""148 м"", ""distanceValue"": 148.848, ""coordinates"": [37.657298928, 55.708661169], ""type"": ""metro"", ""color"": ""#3aa63a""}, {""id"": ""1727701241"", ""name"": ""Автозаводская"", ""distance"": ""680 м"", ""distanceValue"": 675.75, ""coordinates"": [37.660725654, 55.705920154], ""type"": ""metro"", ""color"": ""#ff4c4c""}, {""id"": ""1727700181"", ""name"": ""Дубровка"", ""distance"": ""1,55 км"", ""distanceValue"": 1553.34, ""coordinates"": [37.675403082, 55.712899831], ""type"": ""metro"", ""color"": ""#ff4c4c""}]",этаж 3,motor,"{""ratingCount"": 114, ""ratingValue"": 4.400000095367432, ""reviewCount"": 73}","[{""id"": ""184105264"", ""name"": ""Автошкола"", ""class"": ""driving school"", ""seoname"": ""driving_school"", ""pluralName"": ""Автошколы""}, {""id"": ""132743426043"", ""name"": ""мотошкола"", ""class"": ""driving school"", ""seoname"": ""motorcycle_school"", ""pluralName"": ""Мотошколы""}]","[{""number"": ""+7 (495) 220-23-90"", ""type"": ""phone"", ""value"": ""+74952202390"", ""info"": ""Администратор""}, {""number"": ""+7 (925) 745-88-08"", ""type"": ""phone"", ""value"": ""+79257458808"", ""info"": ""Администратор""}]","[{""type"": ""youtube"", ""href"": ""https://youtube.com/channel/UCk13b8Ou-hBWF_mTGLTrLOg"", ""readableHref"": ""youtube.com/@UCk13b8Ou-hBWF_mTGLTrLOg""}, {""type"": ""whatsapp"", ""href"": ""https://wa.me/79268072827?text=%D0%9E%D0%B1%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5+%D0%B8%D0%B7+%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81+%D0%9A%D0%B0%D1%80%D1%82%0A%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!+%D0%9C%D0%B5%D0%BD%D1%8F+%D0%B7%D0%B0%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B2%D0%B0%D0%BB%D0%BE+%D0%B2%D0%B0%D1%88%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5"", ""readableHref"": ""+79268072827""}, {""type"": ""vkontakte"", ""href"": ""https://vk.com/idrivemsk"", ""readableHref"": ""vk.com/idrivemsk""}, {""type"": ""telegram"", ""href"": ""https://t.me/+79268072827"", ""readableHref"": ""@+79268072827""}]","[""https://avsmotor.ru/""]"
Техника,"Клинская ул., 6, Москва","[37.498023, 55.868411]",88250222470,"[{""id"": ""2135150818"", ""name"": ""Ховрино"", ""distance"": ""1,66 км"", ""distanceValue"": 1664.81, ""coordinates"": [37.482395952, 55.877054533], ""type"": ""metro"", ""color"": ""#3aa63a""}, {""id"": ""3335468575"", ""name"": ""Беломорская"", ""distance"": ""1,68 км"", ""distanceValue"": 1676.59, ""coordinates"": [37.47625795, 55.86549115], ""type"": ""metro"", ""color"": ""#3aa63a""}, {""id"": ""station__9858895"", ""name"": ""Речной вокзал"", ""distance"": ""2,59 км"", ""distanceValue"": 2586.99, ""coordinates"": [37.47569212, 55.855752697], ""type"": ""metro"", ""color"": ""#3aa63a""}]",,tekhnika,"{""ratingCount"": 507, ""ratingValue"": 5, ""reviewCount"": 374}","[{""id"": ""184105264"", ""name"": ""Автошкола"", ""class"": ""driving school"", ""seoname"": ""driving_school"", ""pluralName"": ""Автошколы""}, {""id"": ""132743426043"", ""name"": ""мотошкола"", ""class"": ""driving school"", ""seoname"": ""motorcycle_school"", ""pluralName"": ""Мотошколы""}]","[{""number"": ""+7 (495) 118-44-18"", ""type"": ""phone"", ""value"": ""+74951184418""}]","[{""type"": ""vkontakte"", ""href"": ""https://vk.com/avtoshkola_tehnika"", ""readableHref"": ""vk.com/avtoshkola_tehnika""}, {""type"": ""telegram"", ""href"": ""https://t.me/studytehnika"", ""readableHref"": ""@studytehnika""}]","[""https://avtoshkola-tehnika.ru/?utm_source=yamaps""]"
